Sales Person,Country,Product,Date,Amount,Boxes Shipped
Madelene Upcott,India,Raspberry Choco,7/7/2022,"$4,221.00 ",9
Van Tuxwell,USA,After Nines,26/07/2022,$630.00 ,264
Wilone O'Kielt,Australia,Organic Choco Syrup,7/7/2022,"$1,743.00 ",111
Karlen McCaffrey,Canada,50% Dark Bites,15/07/2022,"$2,919.00 ",65
Roddy Speechley,New Zealand,Orange Choco,1/4/2022,$49.00 ,97
Beverie Moffet,Australia,Eclairs,20/06/2022,"$1,827.00 ",6
Kelci Walkden,UK,Fruit & Nut Bars,29/06/2022,"$13,006.00 ",482
Marney O'Breen,USA,50% Dark Bites,15/06/2022,"$1,064.00 ",106
Husein Augar,USA,After Nines,8/4/2022,"$11,571.00 ",180
Dennison Crosswaite,Australia,Raspberry Choco,14/03/2022,"$5,740.00 ",31
Andria Kimpton,USA,Fruit & Nut Bars,15/07/2022,"$1,456.00 ",359
Kelci Walkden,India,Eclairs,19/04/2022,"$5,334.00 ",80
Marney O'Breen,USA,99% Dark & Pure,28/03/2022,"$4,151.00 ",296
Brien Boise,Canada,Spicy Special Slims,4/3/2022,"$8,106.00 ",101
Karlen McCaffrey,New Zealand,70% Dark Bites,2/8/2022,$126.00 ,40
Husein Augar,UK,Spicy Special Slims,25/08/2022,"$4,697.00 ",42
Marney O'Breen,USA,Almond Choco,25/02/2022,"$7,798.00 ",167
Kelci Walkden,India,Orange Choco,7/6/2022,"$9,408.00 ",138
Jan Morforth,India,Spicy Special Slims,12/4/2022,"$1,939.00 ",520
Ches Bonnell,India,Spicy Special Slims,6/7/2022,"$10,906.00 ",94
Kelci Walkden,UK,Smooth Sliky Salty,19/01/2022,"$5,929.00 ",175
Madelene Upcott,Australia,Fruit & Nut Bars,5/1/2022,"$5,579.00 ",92
Madelene Upcott,Canada,70% Dark Bites,24/01/2022,"$10,927.00 ",141
Wilone O'Kielt,Australia,Drinking Coco,6/4/2022,$623.00 ,283
Gunar Cockshoot,Australia,Fruit & Nut Bars,15/06/2022,"$6,013.00 ",21
Gigi Bohling,Canada,Baker's Choco Chips,28/01/2022,"$1,505.00 ",47
Kelci Walkden,India,Caramel Stuffed Bars,16/03/2022,$476.00 ,125
Rafaelita Blaksland,Australia,Drinking Coco,21/02/2022,"$11,550.00 ",396
Kelci Walkden,USA,Manuka Honey Choco,16/02/2022,"$17,318.00 ",87
Jehu Rudeforth,Canada,Spicy Special Slims,13/01/2022,"$1,848.00 ",27
Kelci Walkden,Australia,Eclairs,23/03/2022,"$7,273.00 ",547
Curtice Advani,Canada,Spicy Special Slims,16/06/2022,$854.00 ,118
Oby Sorrel,India,Raspberry Choco,14/04/2022,"$6,832.00 ",46
Kelci Walkden,UK,Eclairs,25/01/2022,"$4,606.00 ",57
Jan Morforth,India,Almond Choco,11/3/2022,"$4,466.00 ",22
Dotty Strutley,UK,Almond Choco,28/07/2022,"$16,114.00 ",96
Marney O'Breen,New Zealand,After Nines,9/3/2022,"$1,561.00 ",44
Husein Augar,Australia,Orange Choco,28/06/2022,"$8,897.00 ",188
Marney O'Breen,Australia,Milk Bars,28/07/2022,"$2,464.00 ",387
Kelci Walkden,Canada,99% Dark & Pure,15/08/2022,"$4,830.00 ",50
Kaine Padly,Australia,Manuka Honey Choco,12/1/2022,"$2,765.00 ",264
Beverie Moffet,New Zealand,White Choc,24/03/2022,"$7,126.00 ",7
Van Tuxwell,UK,Milk Bars,25/07/2022,"$4,263.00 ",90
Oby Sorrel,Canada,99% Dark & Pure,1/8/2022,"$3,605.00 ",403
Van Tuxwell,India,Organic Choco Syrup,16/05/2022,"$19,929.00 ",174
Roddy Speechley,India,Smooth Sliky Salty,10/8/2022,"$5,103.00 ",140
Jan Morforth,India,Eclairs,5/1/2022,"$2,541.00 ",27
Ches Bonnell,UK,Smooth Sliky Salty,11/7/2022,"$5,663.00 ",110
Wilone O'Kielt,USA,After Nines,25/04/2022,$392.00 ,30
Gigi Bohling,New Zealand,Fruit & Nut Bars,4/4/2022,"$10,976.00 ",121
Barr Faughny,USA,Raspberry Choco,12/4/2022,"$9,282.00 ",101
Wilone O'Kielt,New Zealand,85% Dark Bars,2/8/2022,"$1,827.00 ",117
Gigi Bohling,New Zealand,Manuka Honey Choco,28/06/2022,"$8,267.00 ",272
Ches Bonnell,Australia,Eclairs,5/7/2022,"$4,116.00 ",128
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,7/6/2022,"$2,093.00 ",45
Brien Boise,New Zealand,Smooth Sliky Salty,18/01/2022,"$1,015.00 ",27
Brien Boise,Australia,Baker's Choco Chips,4/1/2022,"$12,516.00 ",212
Dennison Crosswaite,Australia,99% Dark & Pure,31/01/2022,"$2,758.00 ",18
Kelci Walkden,India,Almond Choco,14/03/2022,"$3,297.00 ",149
Camilla Castle,Australia,70% Dark Bites,29/04/2022,"$6,048.00 ",477
Oby Sorrel,India,Smooth Sliky Salty,7/2/2022,"$10,101.00 ",108
Kaine Padly,UK,Organic Choco Syrup,31/03/2022,"$2,282.00 ",178
Marney O'Breen,India,Caramel Stuffed Bars,16/03/2022,"$4,361.00 ",81
Karlen McCaffrey,UK,Eclairs,25/01/2022,"$7,798.00 ",196
Van Tuxwell,India,Baker's Choco Chips,20/06/2022,"$3,052.00 ",447
Gigi Bohling,UK,After Nines,29/03/2022,"$8,029.00 ",175
Curtice Advani,Australia,Orange Choco,12/7/2022,$854.00 ,136
Jehu Rudeforth,Canada,Smooth Sliky Salty,11/7/2022,"$5,460.00 ",138
Karlen McCaffrey,Canada,Smooth Sliky Salty,19/01/2022,"$3,017.00 ",184
Andria Kimpton,USA,85% Dark Bars,5/4/2022,"$8,911.00 ",82
Jehu Rudeforth,Canada,Milk Bars,21/02/2022,"$7,203.00 ",12
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,20/05/2022,"$13,083.00 ",14
Mallorie Waber,Australia,Milk Bars,29/07/2022,"$2,779.00 ",104
Barr Faughny,USA,Fruit & Nut Bars,28/01/2022,"$9,058.00 ",46
Marney O'Breen,UK,Caramel Stuffed Bars,19/07/2022,"$3,549.00 ",112
Mallorie Waber,New Zealand,Manuka Honey Choco,13/04/2022,"$9,436.00 ",11
Roddy Speechley,India,Peanut Butter Cubes,11/2/2022,"$10,283.00 ",21
Roddy Speechley,New Zealand,Milk Bars,2/3/2022,"$5,446.00 ",116
Ches Bonnell,Australia,White Choc,2/3/2022,"$1,043.00 ",202
Van Tuxwell,USA,99% Dark & Pure,28/07/2022,"$12,586.00 ",6
Kelci Walkden,India,After Nines,7/1/2022,"$1,687.00 ",520
Brien Boise,UK,White Choc,12/4/2022,"$5,299.00 ",167
Van Tuxwell,Canada,Almond Choco,27/06/2022,"$3,213.00 ",72
Jehu Rudeforth,Australia,50% Dark Bites,14/01/2022,"$5,194.00 ",418
Karlen McCaffrey,UK,Baker's Choco Chips,7/2/2022,"$4,753.00 ",389
Jehu Rudeforth,Australia,Orange Choco,23/03/2022,"$13,706.00 ",26
Marney O'Breen,India,Peanut Butter Cubes,10/1/2022,"$6,489.00 ",146
Oby Sorrel,UK,Choco Coated Almonds,17/03/2022,"$9,324.00 ",41
Gigi Bohling,USA,Spicy Special Slims,21/01/2022,"$10,829.00 ",54
Barr Faughny,Australia,White Choc,4/7/2022,"$8,113.00 ",370
Kaine Padly,Canada,Peanut Butter Cubes,4/7/2022,"$3,269.00 ",176
Dotty Strutley,USA,Manuka Honey Choco,10/8/2022,$273.00 ,210
Dennison Crosswaite,Australia,50% Dark Bites,1/4/2022,"$7,287.00 ",12
Gigi Bohling,India,Raspberry Choco,22/02/2022,"$2,583.00 ",159
Camilla Castle,UK,White Choc,3/1/2022,"$9,982.00 ",187
Karlen McCaffrey,India,Drinking Coco,31/05/2022,"$4,795.00 ",233
Dotty Strutley,UK,99% Dark & Pure,3/1/2022,"$9,310.00 ",282
Husein Augar,New Zealand,Caramel Stuffed Bars,27/01/2022,$497.00 ,475
Barr Faughny,UK,50% Dark Bites,28/01/2022,$581.00 ,65
Curtice Advani,Australia,Organic Choco Syrup,28/06/2022,"$3,472.00 ",311
Husein Augar,UK,Choco Coated Almonds,2/3/2022,"$4,333.00 ",43
Wilone O'Kielt,Australia,After Nines,27/05/2022,"$3,325.00 ",26
Dennison Crosswaite,USA,Almond Choco,30/06/2022,"$11,718.00 ",84
Barr Faughny,Canada,Peanut Butter Cubes,7/6/2022,"$2,100.00 ",78
Kaine Padly,USA,70% Dark Bites,12/5/2022,"$4,018.00 ",100
Barr Faughny,New Zealand,Raspberry Choco,29/07/2022,"$6,468.00 ",66
Dennison Crosswaite,UK,White Choc,3/8/2022,"$7,238.00 ",265
Barr Faughny,India,Baker's Choco Chips,18/08/2022,"$6,454.00 ",141
